Fit             Permutation     K2RT            KD1             kdephos         km1             km2             kphos           
1.64228457e+03  1721            3.29000700e+00  9.21559900e+00  4.83780000e-02  4.28366756e+02  1.07895310e+01  -8.49410000e-02 
1.64248793e+03  2081            3.80382700e+00  4.96727800e+00  5.68350000e-02  3.53308706e+02  1.30663630e+01  -9.46460000e-02 
1.64263092e+03  2227            3.62301100e+00  -5.18608000e-01 5.67070000e-02  3.55457200e+02  1.03244770e+01  -9.27910000e-02 
1.64274916e+03  2148            3.65449500e+00  3.76029400e+00  5.71540000e-02  3.62308754e+02  1.33966050e+01  -9.62520000e-02 
1.64321461e+03  2348            3.83030600e+00  2.98394700e+00  5.60370000e-02  3.49734355e+02  1.31797440e+01  -9.33840000e-02 
1.64350388e+03  1605            3.51815000e+00  5.09963800e+00  5.72500000e-02  3.54011740e+02  1.29226840e+01  -9.44460000e-02 
1.64402957e+03  2439            3.90415800e+00  1.78660500e+00  5.64750000e-02  3.11587230e+02  1.34345090e+01  -9.36090000e-02 
1.64408580e+03  1509            3.90706800e+00  5.23202900e+00  5.67380000e-02  3.53650731e+02  1.68188740e+01  -9.39040000e-02 
1.64423507e+03  1784            3.72455300e+00  4.91723600e+00  5.73830000e-02  3.20946894e+02  3.08075780e+02  -9.60580000e-02 
1.64425567e+03  1871            3.54990700e+00  4.58220600e+00  5.74910000e-02  3.49656409e+02  1.41879720e+01  -9.44560000e-02 
1.64457071e+03  2479            3.73771200e+00  2.42238400e+00  5.73110000e-02  3.70419242e+02  1.41906000e+01  -9.26480000e-02 
1.64461605e+03  1749            3.52747500e+00  4.98850700e+00  5.74120000e-02  3.51006409e+02  1.31223200e+01  -9.44970000e-02 
1.64468273e+03  2219            4.23773300e+00  5.66164000e-01  5.71510000e-02  3.78578545e+02  1.33328050e+01  -9.24200000e-02 
1.64477291e+03  2123            3.68241700e+00  1.58724500e+00  5.80960000e-02  3.71969675e+02  1.18966880e+01  -9.42820000e-02 
1.64481813e+03  1246            4.72485800e+00  4.51723700e+00  6.12060000e-02  3.43719773e+02  1.43323720e+01  -9.39350000e-02 
1.64485295e+03  2201            3.54095600e+00  6.32782700e+00  5.31320000e-02  4.08374387e+02  1.28116960e+01  -9.11440000e-02 
1.64514048e+03  1342            4.67086800e+00  4.53748300e+00  6.12730000e-02  3.45508385e+02  1.44046810e+01  -9.38970000e-02 
1.64521655e+03  2034            4.81708100e+00  5.01745800e+00  6.02150000e-02  3.44508592e+02  1.26976610e+01  -9.17400000e-02 
1.64547278e+03  2205            3.81437900e+00  9.04548000e-01  5.67600000e-02  3.49243834e+02  1.30299510e+01  -9.48210000e-02 
1.64553096e+03  2153            3.69564000e+00  1.16878600e+00  5.73070000e-02  3.11496582e+02  1.04951500e+01  -9.28860000e-02 
1.64569213e+03  1665            3.57664600e+00  4.92458300e+00  5.77720000e-02  3.54075885e+02  1.20681490e+01  -9.45580000e-02 
1.64585605e+03  1736            3.53995500e+00  7.99883200e+00  5.74340000e-02  3.60717499e+02  1.06626560e+01  -9.43730000e-02 
1.64588182e+03  2435            3.79486700e+00  1.08465700e+00  5.62620000e-02  3.33882687e+02  1.38768370e+01  -9.04870000e-02 
1.64602163e+03  2451            3.78349300e+00  2.38891000e-01  5.01690000e-02  3.28203683e+02  1.34954720e+01  -8.50020000e-02 
1.64625634e+03  2342            4.79669100e+00  4.85828500e+00  6.06280000e-02  2.51741714e+02  1.29481420e+01  -9.35400000e-02 
1.64647158e+03  1843            3.61355800e+00  4.92480200e+00  5.76160000e-02  3.52768763e+02  4.47199180e+01  -9.75120000e-02 
1.64648572e+03  1654            4.53161800e+00  4.55624600e+00  5.90690000e-02  3.53096706e+02  1.28164370e+01  -9.33460000e-02 
1.64656394e+03  2386            3.81702500e+00  -1.57204000e-01 5.54760000e-02  3.51721830e+02  1.33929450e+01  -9.29780000e-02 
1.64701570e+03  2014            3.50085300e+00  4.94323800e+00  5.75590000e-02  3.50606154e+02  1.38470670e+01  -9.47070000e-02 
1.64735158e+03  1979            4.66652800e+00  4.05917400e+00  5.94440000e-02  3.46478614e+02  1.39514290e+01  -9.30860000e-02 
1.64742232e+03  2240            3.67227400e+00  3.85750000e-01  5.61600000e-02  3.61860041e+02  1.33358920e+01  -9.51280000e-02 
