Fit             Iteration       K1              K2              alpha           
1.52885800e+00  gen4perm45      9.91236000e-01  1.43381420e+03  1.39898900e+00  
1.53109800e+00  gen4perm29      9.91236000e-01  1.43381420e+03  1.34603300e+00  
1.54272600e+00  gen3perm45      1.52694000e-01  1.67609948e+02  1.36367400e+00  
1.55816300e+00  gen4perm11      7.79200000e-03  2.86475850e+03  1.34603300e+00  
1.55954100e+00  gen2perm44      1.85886600e+00  5.85019300e+01  1.44863500e+00  
1.55994000e+00  gen7perm29      9.91236000e-01  1.43381420e+03  6.98616000e-01  
1.56486000e+00  gen5perm29      5.80741000e-01  2.86475850e+03  1.33205000e+00  
1.56683000e+00  gen2perm11      4.59754000e-01  2.82638315e+03  9.43842000e-01  
1.57111200e+00  gen6perm44      9.91236000e-01  1.43381420e+03  1.33205000e+00  
1.57667900e+00  gen10perm11     9.91236000e-01  1.35715396e+03  9.53202000e-01  
1.57684200e+00  gen3perm44      2.75944000e-01  4.47706772e+02  8.00690000e-01  
1.57898300e+00  gen10perm29     9.05289000e-01  1.57973638e+02  9.53202000e-01  
1.57932100e+00  gen6perm29      9.91236000e-01  2.86475850e+03  1.33205000e+00  
1.58024400e+00  gen8perm44      9.91236000e-01  1.23443437e+03  9.53202000e-01  
1.59247700e+00  gen6perm11      1.03161700e+00  1.67609948e+02  9.53202000e-01  
1.59326500e+00  gen1perm11      2.77184100e+00  6.03269368e+02  7.76078000e-01  
1.59509000e+00  gen5perm11      9.39869000e-01  1.67609948e+02  1.43292200e+00  
1.59576000e+00  gen1perm29      2.58260000e-02  6.36342700e+00  1.20612900e+00  
1.59701900e+00  gen9perm11      1.07833700e+00  1.35715396e+03  1.33205000e+00  
1.59900100e+00  gen2perm29      9.91236000e-01  1.17571251e+03  8.15780000e-01  
1.60762600e+00  gen5perm44      7.79200000e-03  1.98445746e+02  1.40829400e+00  
1.60918100e+00  gen10perm44     9.91236000e-01  1.57973638e+02  9.53202000e-01  
1.61183700e+00  gen3perm29      1.00116000e+00  8.10551510e+01  9.43842000e-01  
1.61232600e+00  gen9perm29      8.28752000e-01  1.57973638e+02  8.69897000e-01  
1.61838000e+00  gen4perm44      9.39869000e-01  1.02464270e+02  9.53202000e-01  
1.62053400e+00  gen7perm11      9.91236000e-01  1.57973638e+02  8.69897000e-01  
1.62104500e+00  gen1perm44      1.50757530e+01  7.53384720e+01  1.07574500e+00  
