Fit             Iteration       K1              K2              alpha           
1.53916000e-01  1697            7.10310000e-02  2.71315690e+01  7.30444000e-01  
1.53926000e-01  1590            7.44330000e-02  2.71315690e+01  7.28564000e-01  
1.53942000e-01  1342            7.39520000e-02  2.54729210e+01  7.34311000e-01  
1.53972000e-01  1373            7.33720000e-02  3.03955810e+01  7.28564000e-01  
1.54052000e-01  1880            7.35900000e-02  2.71315690e+01  7.28564000e-01  
1.54087000e-01  1451            6.98950000e-02  2.75414820e+01  7.28564000e-01  
1.54103000e-01  2323            7.35900000e-02  2.89395920e+01  7.30004000e-01  
1.54110000e-01  2079            7.35900000e-02  2.71315690e+01  7.30004000e-01  
1.54265000e-01  2358            7.35900000e-02  2.78695090e+01  7.30004000e-01  
1.54313000e-01  1856            7.39520000e-02  2.78695090e+01  7.28564000e-01  
1.54463000e-01  2350            7.74350000e-02  2.95816950e+01  7.34342000e-01  
1.54475000e-01  2498            7.12340000e-02  2.75414820e+01  7.28564000e-01  
1.54487000e-01  2360            6.97160000e-02  2.62421790e+01  7.28564000e-01  
1.54546000e-01  1912            7.25260000e-02  2.71134260e+01  7.28564000e-01  
1.54552000e-01  1716            6.98950000e-02  2.78695090e+01  7.28564000e-01  
1.54687000e-01  2495            7.31980000e-02  3.23497380e+01  7.28564000e-01  
1.54708000e-01  1589            6.98950000e-02  2.75414820e+01  7.28564000e-01  
1.54762000e-01  2041            6.98950000e-02  2.75414820e+01  7.31048000e-01  
1.54765000e-01  2213            7.35900000e-02  2.96797880e+01  7.31048000e-01  
1.54769000e-01  1951            7.15320000e-02  2.75414820e+01  7.28564000e-01  
1.54789000e-01  1787            6.97160000e-02  2.75414820e+01  7.30004000e-01  
1.54817000e-01  1861            7.12340000e-02  2.76849980e+01  7.28564000e-01  
1.54880000e-01  2421            7.10310000e-02  2.79928550e+01  7.28564000e-01  
1.54884000e-01  1820            7.58700000e-02  2.73303260e+01  7.28564000e-01  
1.54895000e-01  2413            7.63350000e-02  2.86036040e+01  7.31048000e-01  
1.54928000e-01  1879            7.10310000e-02  2.93436660e+01  7.31048000e-01  
1.54989000e-01  2298            7.35900000e-02  2.71315690e+01  7.30004000e-01  
1.55024000e-01  1432            7.35900000e-02  2.52763960e+01  7.34311000e-01  
1.55028000e-01  1544            7.10310000e-02  2.58864490e+01  7.28564000e-01  
1.55030000e-01  2315            7.35900000e-02  3.16424700e+01  7.10280000e-01  
1.55045000e-01  1594            7.55970000e-02  2.71134260e+01  7.28564000e-01  
1.55140000e-01  1780            5.84510000e-02  2.78695090e+01  7.10280000e-01  
1.55168000e-01  2043            7.35900000e-02  2.76714080e+01  7.28564000e-01  
1.55186000e-01  2091            6.98950000e-02  3.01390420e+01  7.28564000e-01  
1.55192000e-01  2263            7.12340000e-02  2.78695090e+01  7.28564000e-01  
1.55228000e-01  2007            7.34840000e-02  2.76714080e+01  7.28564000e-01  
1.55275000e-01  1757            7.10310000e-02  2.78695090e+01  7.28564000e-01  
